OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0	0	0	7	0	0	0	Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;
0	0	0	3	0	0	0	Bacteria;BRC1;
0	0	0	5	0	0	0	Bacteria;Bacteroidetes;Bacteroidetes BD2-2;
0	4	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;Rubrivirga;
5	0	1	25	0	0	0	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;uncultured;
8	18	0	6	1	5	1	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;Unknown Family;Balneola;
0	1	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;Unknown Family;Gracilimonas;
0	0	0	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;uncultured;
1	0	0	3	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;uncultured;
2	0	3	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Prolixibacter;
1	0	0	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;
0	0	0	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidia Incertae Sedis;Draconibacteriaceae;Draconibacterium;
0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium;
0	0	0	1	0	0	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Microscilla;
0	0	0	0	0	1	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;
0	0	1	0	0	0	1	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;uncultured;
1	0	1	0	0	0	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Aureibacter;
0	1	0	2	0	2	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Candidatus Amoebophilus;
0	2	0	0	0	0	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Cesiribacter;
0	2	0	5	0	6	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Ekhidna;
2	2	0	2	7	14	4	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;
0	0	1	0	0	0	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flammeovirga;
0	0	0	6	1	0	1	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix;
0	0	0	3	0	0	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fulvivirga;
174	60	25	129	156	118	16	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
0	1	0	1	1	1	0	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;
0	0	0	0	0	0	9	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Roseivirga;
22	2	21	92	27	12	6	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
0	0	0	0	1	2	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;
10	3	11	3	15	2	3	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
1	0	0	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Cryomorpha;
36	58	27	288	63	11	8	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
22	1	13	5	9	14	12	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
0	1	1	1	0	0	2	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;
3	1	0	29	19	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Salinirepens;
142	36	757	65	336	190	50	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;uncultured;
0	0	0	1	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
5	0	0	5	3	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Actibacter;
1	0	1	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algitalea;
7	1	3	12	4	3	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
0	0	2	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina;
0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Arenibacter;
5	0	0	0	1	2	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureisphaera;
6	0	0	0	1	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureitalea;
