primary_accession	OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
M01153_28_000000000-ABJE2_1_1103_15055_28466	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15066_22589	0	0	0	7	0	0	0
M01153_28_000000000-ABJE2_1_1103_15076_8413	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_15151_19331	0	0	0	0	4	0	0
M01153_28_000000000-ABJE2_1_1103_15152_16977	4	0	2	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_15154_14810	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_15161_6030	0	0	0	6	0	0	0
M01153_28_000000000-ABJE2_1_1103_15185_11406	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15193_17061	0	0	6	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15267_28306	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_15279_15802	0	2	0	4	0	0	0
M01153_28_000000000-ABJE2_1_1103_15305_20960	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15311_24282	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_15352_10584	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15361_24508	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15365_19841	0	0	0	0	0	3	0
M01153_28_000000000-ABJE2_1_1103_15382_26226	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_15392_15429	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15394_28828	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_15404_21939	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_15414_20634	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1103_15426_25718	4	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15441_22435	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_15501_16942	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15505_21196	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15511_22621	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15612_14499	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_15619_5311	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15626_28249	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15630_5144	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_15631_25268	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_15648_12772	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15653_22143	0	0	0	0	0	0	3
M01153_28_000000000-ABJE2_1_1103_15654_27196	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15665_13091	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15670_27521	0	3	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15673_25221	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_15675_27911	0	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15725_27935	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15733_5340	0	3	45	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15760_20813	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15764_27122	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_15766_21035	0	62	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15777_10724	0	0	9	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15794_19161	0	5	0	0	0	3	0
M01153_28_000000000-ABJE2_1_1103_15824_6107	1	10	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15831_17380	0	0	0	11	0	0	0
M01153_28_000000000-ABJE2_1_1103_15832_3829	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15866_5075	0	0	17	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15882_11327	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15893_25999	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15898_27532	0	0	6	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15917_12765	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1103_15917_26715	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15920_13997	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_15933_18879	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_15962_6621	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_15985_10802	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16015_23132	0	0	0	6	0	0	0
M01153_28_000000000-ABJE2_1_1103_16075_16765	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16076_19584	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16078_19911	6	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16078_22637	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16082_26484	0	0	0	0	0	20	0
M01153_28_000000000-ABJE2_1_1103_16086_22322	0	0	1	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_16101_16624	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16105_15067	14	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16105_22199	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_16142_23802	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16199_6365	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_16209_27424	0	0	0	0	0	9	0
M01153_28_000000000-ABJE2_1_1103_16215_21702	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_16243_19862	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_16244_10656	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16253_12367	1	3	2	1	19	0	0
M01153_28_000000000-ABJE2_1_1103_16254_2196	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16282_6142	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_16317_23593	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_16323_2732	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16337_27021	0	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16340_18289	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16349_14182	0	3	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_16350_3448	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16366_11382	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_16396_3507	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_16414_21762	1	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16420_9563	0	0	0	0	0	6	0
M01153_28_000000000-ABJE2_1_1103_16431_26741	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_16435_3243	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16468_15814	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16468_20774	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16474_21883	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_16531_9911	0	0	0	0	0	0	6
M01153_28_000000000-ABJE2_1_1103_16556_20755	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16569_22412	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16571_2821	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16572_6418	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16611_12090	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1103_16631_20208	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16638_27604	0	0	0	0	0	0	6
M01153_28_000000000-ABJE2_1_1103_16644_20815	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16653_26333	5	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16681_17785	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16686_15785	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_16697_24839	2	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16701_3650	0	0	0	0	0	4	0
M01153_28_000000000-ABJE2_1_1103_16721_25503	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16738_20068	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16742_23452	0	5	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16748_27488	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16753_13082	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16759_11754	0	0	0	4	0	0	0
M01153_28_000000000-ABJE2_1_1103_16775_27566	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16798_28871	0	0	2	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16817_18681	0	0	0	8	0	0	0
M01153_28_000000000-ABJE2_1_1103_16837_8603	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16840_15019	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_16842_23057	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16843_26210	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16860_17062	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_16871_20694	0	0	11	0	0	0	5
M01153_28_000000000-ABJE2_1_1103_16900_4081	0	0	0	0	0	6	0
M01153_28_000000000-ABJE2_1_1103_16915_25415	0	0	2	5	0	0	0
M01153_28_000000000-ABJE2_1_1103_16966_24717	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_16970_5391	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17011_13020	0	0	0	0	0	0	9
M01153_28_000000000-ABJE2_1_1103_17042_8376	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_17045_17330	0	1	0	2	7	3	0
M01153_28_000000000-ABJE2_1_1103_17052_2805	0	0	0	4	0	0	0
M01153_28_000000000-ABJE2_1_1103_17055_25143	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_17059_2448	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17091_15112	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17110_25325	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17114_24510	0	0	0	0	0	16	0
M01153_28_000000000-ABJE2_1_1103_17122_19989	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_17124_21141	5	5	0	0	0	4	0
M01153_28_000000000-ABJE2_1_1103_17130_14890	0	0	0	7	0	0	0
M01153_28_000000000-ABJE2_1_1103_17134_8215	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_17153_26475	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_17175_27512	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17177_24865	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17226_7982	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17230_3211	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17253_2184	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17263_15135	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17279_27976	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17282_16911	0	0	0	0	4	0	0
M01153_28_000000000-ABJE2_1_1103_17287_27081	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17321_7084	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17337_20523	0	2	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_17346_26976	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_17382_28156	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17394_15465	0	0	0	0	4	10	0
M01153_28_000000000-ABJE2_1_1103_17398_13425	0	33	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17415_20122	0	0	20	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17434_10573	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17480_28640	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17498_13825	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_17509_28529	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17537_5728	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_17541_2122	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_17550_22559	0	0	0	0	5	0	0
M01153_28_000000000-ABJE2_1_1103_17567_24621	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17585_6657	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17619_9676	1	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_17631_14044	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17632_22222	0	0	0	5	0	0	0
M01153_28_000000000-ABJE2_1_1103_17642_12426	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17658_10761	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17683_19152	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_17720_15770	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_17727_5911	3	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_17739_18833	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17743_11115	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17801_18133	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17802_12082	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_17886_13487	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_17888_13278	2	2	0	1	0	1	0
M01153_28_000000000-ABJE2_1_1103_17951_20624	0	0	0	27	0	0	0
M01153_28_000000000-ABJE2_1_1103_17964_2229	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1103_17973_7968	0	0	0	0	18	0	0
M01153_28_000000000-ABJE2_1_1103_17991_12041	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_17993_24011	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_18013_27370	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18053_8333	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_18092_12388	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18102_26530	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18160_23753	3	1	0	0	0	4	0
M01153_28_000000000-ABJE2_1_1103_18171_4357	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18192_23835	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18200_20238	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18222_19762	0	0	0	0	6	0	0
M01153_28_000000000-ABJE2_1_1103_18222_28275	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18274_17974	0	0	0	0	0	0	3
M01153_28_000000000-ABJE2_1_1103_18288_7822	0	0	9	0	0	0	16
M01153_28_000000000-ABJE2_1_1103_18298_19136	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18308_28035	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18370_12189	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18370_13279	1	0	0	6	12	0	0
M01153_28_000000000-ABJE2_1_1103_18396_23394	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18400_26506	0	0	0	0	0	0	3
M01153_28_000000000-ABJE2_1_1103_18443_28523	0	0	0	1	1	0	0
M01153_28_000000000-ABJE2_1_1103_18464_15493	0	0	0	0	0	0	3
M01153_28_000000000-ABJE2_1_1103_18485_24747	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18485_2487	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18523_28314	0	0	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1103_18580_9903	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_18583_24612	3	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18598_8329	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18612_20702	0	6	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18649_26282	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18675_26163	0	0	0	0	0	0	12
M01153_28_000000000-ABJE2_1_1103_18678_12495	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18752_16336	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_18757_17895	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18761_5125	4	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_18763_10683	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18777_19998	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_18796_28546	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_1881_13609	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_18812_24521	0	0	0	0	5	0	0
M01153_28_000000000-ABJE2_1_1103_18842_26617	2	0	0	4	0	1	0
M01153_28_000000000-ABJE2_1_1103_18865_17235	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18882_3784	0	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18892_26460	0	0	0	0	0	0	4
M01153_28_000000000-ABJE2_1_1103_18901_17410	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18910_8059	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_18933_15408	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19013_17562	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19046_17248	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_19114_7393	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_19143_26905	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1103_19148_15115	2	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_19154_25289	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19177_26847	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_19184_10957	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19203_4751	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_19213_1946	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19217_10944	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_19237_11671	0	2	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1103_19305_11840	0	0	0	0	0	3	0
M01153_28_000000000-ABJE2_1_1103_19310_5163	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_19317_2322	0	0	13	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19325_20594	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_19351_7308	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_19371_22378	2	0	0	4	0	0	0
M01153_28_000000000-ABJE2_1_1103_19373_2127	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_1938_12877	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1103_19388_16245	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19425_10412	0	0	1	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_19447_2906	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1103_19452_5831	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19469_27460	3	0	0	0	8	4	1
M01153_28_000000000-ABJE2_1_1103_19479_5438	0	0	0	0	41	0	0
M01153_28_000000000-ABJE2_1_1103_19562_23922	0	0	0	0	0	0	9
M01153_28_000000000-ABJE2_1_1103_19581_3302	14	0	0	0	0	18	0
M01153_28_000000000-ABJE2_1_1103_19584_9004	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19591_5118	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19594_20412	0	0	0	0	0	5	0
M01153_28_000000000-ABJE2_1_1103_19595_14862	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_19599_23283	0	6	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1103_19611_28450	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19618_28277	0	1	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_19655_6318	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_19667_18145	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_19703_4256	0	0	42	0	0	0	4
M01153_28_000000000-ABJE2_1_1103_19729_15794	0	0	0	0	0	5	0
M01153_28_000000000-ABJE2_1_1103_19745_24854	0	0	0	0	0	0	15
M01153_28_000000000-ABJE2_1_1103_19751_18232	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19781_11763	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_1980_15062	0	45	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19806_7926	0	0	0	11	0	0	0
M01153_28_000000000-ABJE2_1_1103_19811_15472	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19823_9517	0	0	0	0	3	0	1
M01153_28_000000000-ABJE2_1_1103_19870_27565	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_19902_6476	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19906_11834	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19913_5139	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_19973_22200	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_19982_3134	0	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_19991_12523	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20001_23006	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_20009_22564	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_20033_17172	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_20044_25229	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20094_27989	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20101_8684	0	0	0	0	1	3	0
M01153_28_000000000-ABJE2_1_1103_20140_2575	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20146_15360	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20164_27244	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1103_20184_24819	0	0	0	0	4	0	0
M01153_28_000000000-ABJE2_1_1103_20186_6891	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20205_13358	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20217_9593	1	0	0	0	1	2	0
M01153_28_000000000-ABJE2_1_1103_20220_12927	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_20252_23227	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1103_20253_7305	0	4	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20286_10032	0	0	0	0	0	3	0
M01153_28_000000000-ABJE2_1_1103_20287_12690	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20298_5777	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20303_9363	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_20350_11392	3	0	2	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20366_11205	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20381_21617	0	1	0	6	9	0	0
M01153_28_000000000-ABJE2_1_1103_20391_26730	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20392_15213	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20407_24380	0	0	0	10	0	0	0
M01153_28_000000000-ABJE2_1_1103_20449_3835	0	0	0	8	0	0	0
M01153_28_000000000-ABJE2_1_1103_20489_25089	0	0	5	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20500_8298	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20505_2520	5	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20532_11145	0	0	0	0	18	0	0
M01153_28_000000000-ABJE2_1_1103_20534_27170	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20578_12467	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20591_7693	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20599_27128	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_20612_2647	0	0	0	0	0	0	27
M01153_28_000000000-ABJE2_1_1103_20615_2965	0	0	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1103_20635_8843	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20658_2456	0	0	2	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20670_17982	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1103_20675_8027	0	2	0	0	3	0	0
M01153_28_000000000-ABJE2_1_1103_20680_28001	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20686_2481	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20695_11482	0	0	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1103_20696_6176	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1103_20719_19079	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1103_20725_21897	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20756_27842	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20763_19845	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20765_22653	0	0	0	0	0	2	0
M01153_28_000000000-ABJE2_1_1103_20783_16685	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20816_27498	0	2	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1103_20821_14752	4	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20844_21715	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1103_20852_16474	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1103_20871_4814	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1103_20887_8401	0	0	0	0	0	0	3
M01153_28_000000000-ABJE2_1_1103_20906_12803	8	0	24	0	0	0	0
