primary_accession	OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
M01153_28_000000000-ABJE2_1_1101_10508_16879	39	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10516_5123	1	0	115	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10523_13036	0	0	19	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10523_4332	100	105	0	53	0	123	0
M01153_28_000000000-ABJE2_1_1101_10536_14400	0	0	0	0	0	0	30
M01153_28_000000000-ABJE2_1_1101_10538_9293	3	0	225	0	1	0	334
M01153_28_000000000-ABJE2_1_1101_10551_16524	0	0	9	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10564_11888	71	186	38	4	43	150	3
M01153_28_000000000-ABJE2_1_1101_10593_21089	0	0	0	0	0	171	0
M01153_28_000000000-ABJE2_1_1101_10601_13803	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_10634_22060	0	0	0	0	0	0	263
M01153_28_000000000-ABJE2_1_1101_10635_7866	7	70	0	3	0	11	0
M01153_28_000000000-ABJE2_1_1101_10647_9236	310	131	0	0	45	71	0
M01153_28_000000000-ABJE2_1_1101_10651_24310	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10678_23537	0	0	18	0	3	1	107
M01153_28_000000000-ABJE2_1_1101_10681_17330	0	0	0	0	0	228	0
M01153_28_000000000-ABJE2_1_1101_10688_6471	0	79	327	0	101	122	379
M01153_28_000000000-ABJE2_1_1101_10707_19135	0	0	12	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10710_21801	0	0	0	1	88	96	0
M01153_28_000000000-ABJE2_1_1101_10717_21008	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1101_10723_21602	0	0	0	5	0	0	0
M01153_28_000000000-ABJE2_1_1101_10727_12336	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_10728_17157	0	0	12	0	3	1	2
M01153_28_000000000-ABJE2_1_1101_10728_6796	0	0	27	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10742_14911	10	1	3	1	0	0	5
M01153_28_000000000-ABJE2_1_1101_10754_22753	0	3	0	0	0	39	0
M01153_28_000000000-ABJE2_1_1101_10763_15643	0	0	0	196	0	0	0
M01153_28_000000000-ABJE2_1_1101_10767_19153	0	0	3	0	0	0	142
M01153_28_000000000-ABJE2_1_1101_10788_21780	2	5	1	621	2	1	0
M01153_28_000000000-ABJE2_1_1101_10789_11024	81	36	30	0	46	48	1
M01153_28_000000000-ABJE2_1_1101_10796_23869	0	0	233	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10798_24531	0	0	0	0	0	0	11
M01153_28_000000000-ABJE2_1_1101_10799_21483	1	0	0	0	0	0	0
